s_name,scheme_code,aumdate,aumtotal,fincode,invdate,noshares,percent_aum
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,279527,2023-12-31T00:00:00.000Z,2835447,0.46
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,214179,2023-12-31T00:00:00.000Z,817305,0.35
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,296214,2023-12-31T00:00:00.000Z,3528493,0.26
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,229365,2023-12-31T00:00:00.000Z,1465175,0.23
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,242461,2023-12-31T00:00:00.000Z,829035,0.09
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,132174,2023-11-30T00:00:00.000Z,11929740,7.83
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,100180,2023-11-30T00:00:00.000Z,6296704,6.89
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,100325,2023-11-30T00:00:00.000Z,3160213,5.27
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,100209,2023-11-30T00:00:00.000Z,4595392,4.69
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,100510,2023-11-30T00:00:00.000Z,2095752,4.57
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,117174,2023-11-30T00:00:00.000Z,139702,3.60
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,132843,2023-11-30T00:00:00.000Z,10342579,2.80
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,132638,2023-11-30T00:00:00.000Z,5341050,2.57
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,107815,2023-11-30T00:00:00.000Z,564837,2.52
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,132454,2023-11-30T00:00:00.000Z,3273420,2.33
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,100112,2023-11-30T00:00:00.000Z,5478465,2.17
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,132215,2023-11-30T00:00:00.000Z,2813737,2.12
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,132540,2023-11-30T00:00:00.000Z,812780,1.99
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,132500,2023-11-30T00:00:00.000Z,240429,1.79
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,100520,2023-11-30T00:00:00.000Z,1484660,1.72
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,106285,2023-11-30T00:00:00.000Z,452827,1.71
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,124715,2023-11-30T00:00:00.000Z,1971900,1.70
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,100570,2023-11-30T00:00:00.000Z,3176335,1.58
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,100114,2023-11-30T00:00:00.000Z,616524,1.51
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,131344,2023-11-30T00:00:00.000Z,2726849,1.49
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,100660,2023-11-30T00:00:00.000Z,1218872,1.42
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,100413,2023-11-30T00:00:00.000Z,13370942,1.41
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,100034,2023-11-30T00:00:00.000Z,274232,1.37
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,132187,2023-11-30T00:00:00.000Z,1330106,1.37
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,132538,2023-11-30T00:00:00.000Z,212449,1.34
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,278580,2023-11-30T00:00:00.000Z,21397336,1.28
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,103100,2023-11-30T00:00:00.000Z,742409,1.24
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,100470,2023-11-30T00:00:00.000Z,12551780,1.13
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,132541,2023-11-30T00:00:00.000Z,276335,1.12
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,132835,2023-11-30T00:00:00.000Z,284810,1.09
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,132432,2023-11-30T00:00:00.000Z,1466432,1.08
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,222055,2023-11-30T00:00:00.000Z,565491,1.07
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,217389,2023-11-30T00:00:00.000Z,2140780,1.04
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,100696,2023-11-30T00:00:00.000Z,568094,1.02
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,100680,2023-11-30T00:00:00.000Z,334874,0.96
