s_name,aumdate,aumtotal,fincode,invdate,noshares,percent_aum
Aditya Birla SL ELSS Tax Saver Fund(G),2023-12-31T00:00:00.000Z,14917.96,100387,2023-11-30T00:00:00.000Z,14508,0.27
Aditya Birla SL ELSS Tax Saver Fund(G),2023-12-31T00:00:00.000Z,14917.96,254493,2023-11-30T00:00:00.000Z,331478,0.19
Aditya Birla SL ELSS Tax Saver Fund(G),2023-12-31T00:00:00.000Z,14917.96,132523,2023-10-31T00:00:00.000Z,1749399,0.28
Bandhan ELSS Tax Saver Fund-Reg(G),2023-12-31T00:00:00.000Z,5748.89,100180,2023-12-31T00:00:00.000Z,2200000,6.54
Bandhan ELSS Tax Saver Fund-Reg(G),2023-12-31T00:00:00.000Z,5748.89,132174,2023-12-31T00:00:00.000Z,3400000,5.89
Bandhan ELSS Tax Saver Fund-Reg(G),2023-12-31T00:00:00.000Z,5748.89,100325,2023-12-31T00:00:00.000Z,1050000,4.72
Bandhan ELSS Tax Saver Fund-Reg(G),2023-12-31T00:00:00.000Z,5748.89,132215,2023-12-31T00:00:00.000Z,2200000,4.22
Bandhan ELSS Tax Saver Fund-Reg(G),2023-12-31T00:00:00.000Z,5748.89,100209,2023-12-31T00:00:00.000Z,1400000,3.76
Bandhan ELSS Tax Saver Fund-Reg(G),2023-12-31T00:00:00.000Z,5748.89,100570,2023-12-31T00:00:00.000Z,2300000,3.12
Bandhan ELSS Tax Saver Fund-Reg(G),2023-12-31T00:00:00.000Z,5748.89,100112,2023-12-31T00:00:00.000Z,2300000,2.57
Bandhan ELSS Tax Saver Fund-Reg(G),2023-12-31T00:00:00.000Z,5748.89,132454,2023-12-31T00:00:00.000Z,1275000,2.29
Bandhan ELSS Tax Saver Fund-Reg(G),2023-12-31T00:00:00.000Z,5748.89,132555,2023-12-31T00:00:00.000Z,4000000,2.16
Bandhan ELSS Tax Saver Fund-Reg(G),2023-12-31T00:00:00.000Z,5748.89,132540,2023-12-31T00:00:00.000Z,321877,2.12
Bandhan ELSS Tax Saver Fund-Reg(G),2023-12-31T00:00:00.000Z,5748.89,132286,2023-12-31T00:00:00.000Z,1500000,1.95
Bandhan ELSS Tax Saver Fund-Reg(G),2023-12-31T00:00:00.000Z,5748.89,100087,2023-12-31T00:00:00.000Z,850000,1.84
Bandhan ELSS Tax Saver Fund-Reg(G),2023-12-31T00:00:00.000Z,5748.89,132281,2023-12-31T00:00:00.000Z,700000,1.79
Bandhan ELSS Tax Saver Fund-Reg(G),2023-12-31T00:00:00.000Z,5748.89,100093,2023-12-31T00:00:00.000Z,2250000,1.78
Bandhan ELSS Tax Saver Fund-Reg(G),2023-12-31T00:00:00.000Z,5748.89,295732,2023-12-31T00:00:00.000Z,2300000,1.71
Bandhan ELSS Tax Saver Fund-Reg(G),2023-12-31T00:00:00.000Z,5748.89,132432,2023-12-31T00:00:00.000Z,850000,1.65
Bandhan ELSS Tax Saver Fund-Reg(G),2023-12-31T00:00:00.000Z,5748.89,209587,2023-12-31T00:00:00.000Z,1200000,1.61
Bandhan ELSS Tax Saver Fund-Reg(G),2023-12-31T00:00:00.000Z,5748.89,124715,2023-12-31T00:00:00.000Z,700000,1.53
Bandhan ELSS Tax Saver Fund-Reg(G),2023-12-31T00:00:00.000Z,5748.89,124000,2023-12-31T00:00:00.000Z,2023800,1.53
Bandhan ELSS Tax Saver Fund-Reg(G),2023-12-31T00:00:00.000Z,5748.89,100247,2023-12-31T00:00:00.000Z,450000,1.49
Bandhan ELSS Tax Saver Fund-Reg(G),2023-12-31T00:00:00.000Z,5748.89,217379,2023-12-31T00:00:00.000Z,600000,1.48
